n,m,MST_weight,Time_ms
100,500,12947469,0,047208
300,1500,40884005,0,135625
500,2500,60682653,0,186917
800,4000,96243990,0,347209
1000,5000,121996008,0,580333
1500,7500,176859664,0,601666
2000,10000,233548967,0,787458
