n,p,DFS_M,DFS_L,Warshall
5,0.0,0.25,0.44,1.13
5,0.2,0.39,1.18,1.91
5,0.5,0.60,2.14,0.78
5,0.8,0.35,0.65,0.82
5,1.0,0.19,0.54,0.71
10,0.0,0.06,0.06,0.67
10,0.2,0.48,0.45,3.01
10,0.5,0.88,0.95,3.74
10,0.8,0.62,1.27,3.28
10,1.0,0.39,1.63,3.19
20,0.0,0.15,0.11,2.02
20,0.2,1.20,1.69,20.62
20,0.5,2.01,3.18,23.54
20,0.8,1.34,4.44,23.98
20,1.0,0.36,5.10,8.41
50,0.0,0.07,0.09,3.82
50,0.2,6.29,2.15,63.33
50,0.5,11.90,3.15,52.16
50,0.8,6.44,4.09,38.45
50,1.0,1.88,4.29,33.44
